GO_term	taxon	taxon_id	lineage
GO:1904980	Bilateria	33213.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria
GO:0044571	cellular organisms	131567.0	root | cellular organisms
GO:0061179	Amniota	32524.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi | Sarcopterygii | Dipnotetrapodomorpha | Tetrapoda | Amniota
GO:0010518	cellular organisms	131567.0	root | cellular organisms
GO:0009555	Embryophyta	3193.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta
GO:0000306	Unknown		
GO:0052895	Unknown		
GO:0031087	cellular organisms	131567.0	root | cellular organisms
GO:0003044	Amniota	32524.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi | Sarcopterygii | Dipnotetrapodomorpha | Tetrapoda | Amniota
GO:0120161	Amniota	32524.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi | Sarcopterygii | Dipnotetrapodomorpha | Tetrapoda | Amniota
GO:0000736	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0050992	cellular organisms	131567.0	root | cellular organisms
GO:0046103	cellular organisms	131567.0	root | cellular organisms
GO:0048608	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0006836	Metazoa	33208.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa
GO:0015780	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0042299	Pentapetalae	1437201.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida | Mesangiospermae | eudicotyledons | Gunneridae | Pentapetalae
GO:0006306	Unknown		
GO:0032993	root	1.0	root
GO:0045239	Unknown		
GO:0007271	Eumetazoa	6072.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa
GO:0010206	cellular organisms	131567.0	root | cellular organisms
GO:0000266	cellular organisms	131567.0	root | cellular organisms
GO:1901430	Arabidopsis thaliana	3702.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida | Mesangiospermae | eudicotyledons | Gunneridae | Pentapetalae | rosids | malvids | Brassicales | Brassicaceae | Camelineae | Arabidopsis | Arabidopsis thaliana
GO:0005262	cellular organisms	131567.0	root | cellular organisms
GO:0015079	root	1.0	root
GO:0098015	Caudoviricetes	2731619.0	root | Viruses | Duplodnaviria | Heunggongvirae | Uroviricota | Caudoviricetes
GO:0006513	root	1.0	root
GO:0033553	cellular organisms	131567.0	root | cellular organisms
GO:0033185	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0035511	Unknown		
GO:0072711	cellular organisms	131567.0	root | cellular organisms
GO:1990547	cellular organisms	131567.0	root | cellular organisms
GO:1903175	Magnoliopsida	3398.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida
GO:0047958	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0051500	cellular organisms	131567.0	root | cellular organisms
GO:0043325	cellular organisms	131567.0	root | cellular organisms
GO:0000323	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0015145	cellular organisms	131567.0	root | cellular organisms
GO:0071556	Unknown		
GO:0006635	root	1.0	root
GO:0018879	Euarchontoglires	314146.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi | Sarcopterygii | Dipnotetrapodomorpha | Tetrapoda | Amniota | Mammalia | Theria | Eutheria | Boreoeutheria | Euarchontoglires
GO:0009957	Bilateria	33213.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria
GO:0047130	cellular organisms	131567.0	root | cellular organisms
GO:0009312	cellular organisms	131567.0	root | cellular organisms
GO:0009557	Arabidopsis thaliana	3702.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida | Mesangiospermae | eudicotyledons | Gunneridae | Pentapetalae | rosids | malvids | Brassicales | Brassicaceae | Camelineae | Arabidopsis | Arabidopsis thaliana
GO:0007608	Eumetazoa	6072.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa
