ProteinID	sim_BP	sim_MF	sim_CC
CSH1-11g52480	6.04731457564533	5.92400924013556	3.21221099059833
CSH1-1g02256	NA	7.16409037105787	NA
CSH1-8g39517	NA	4.60728413260028	NA
CSH1-2g08540	5.47106609542828	6.76318351518459	NA
CSH1-6g31779	0.681742952307852	4.21379385818358	2.47235685230826
CSH1-10g47609	NA	2.01961369673616	NA
CSH1-11g51011	7.87061762123208	10.7852282466509	6.74848797111858
CSH1-2g11959	NA	NA	3.21221099059833
CSH1-11g51916	5.39149441974135	7.27482609547018	NA
CSH1-12g54488	NA	5.08144577199468	NA
CSH1-7g34564	NA	NA	8.08892118498816
CSH1-10g48496	8.23529503273878	8.086146895892	6.64517472747225
CSH1-11g53492	NA	4.05018485545666	NA
CSH1-12g54792	5.29380380088665	5.8244444338567	NA
CSH1-12g56189	1.32972386110815	4.05519157799369	3.21221099059833
CSH1-6g30483	NA	1.56930349638079	NA
CSH1-1g05993	NA	10.7852282466509	NA
CSH1-6g30001	3.83596549617071	2.88071875889519	3.02724745602581
CSH1-1g01105	4.63249555194677	7.50991275914935	5.37805647519076
CSH1-3g13229	NA	NA	4.5658644184686
CSH1-9g44300	6.08474788085846	7.90240572186281	7.78949597309689
CSH1-8g41151	NA	8.15039175073231	NA
CSH1-12g54236	5.04241298417946	6.93102291302219	7.78949597309689
CSH1-10g46564	6.28006392585368	5.31355817365222	5.37805647519076
CSH1-3g12726	NA	7.16409037105787	NA
CSH1-5g22504	NA	NA	3.21221099059833
CSH1-6g31315	0.511307214230889	NA	7.33239277637786
CSH1-1g06547	2.98545186197516	4.26512446049847	NA
CSH1-8g39245	NA	9.17446230594191	NA
CSH1-6g27723	NA	7.45802180310143	NA
CSH1-9g43520	5.44335460515474	3.31785717973332	6.87459480018014
CSH1-6g29157	1.54571749737491	3.84547179849966	3.02724745602581
CSH1-3g13418	7.70147000120671	NA	NA
CSH1-4g20968	NA	4.71939655913701	7.78949597309689
CSH1-3g13936	NA	4.19137163840404	NA
CSH1-6g27785	NA	4.5091608839033	3.21221099059833
CSH1-7g35924	NA	8.0944262634204	NA
CSH1-1g07365	NA	6.87266475716578	NA
CSH1-11g48810	8.30032159686288	8.48264315365683	9.17579033421678
CSH1-7g36123	NA	8.48124705908336	NA
CSH1-3g16653	5.03662495032896	9.17446230594191	NA
CSH1-7g32990	1.78865582318992	NA	2.47235685230826
CSH1-5g22159	4.76323316111573	7.42401653485062	NA
CSH1-11g48928	6.13154953655753	9.17446230594191	NA
CSH1-10g45741	NA	5.26198748752062	NA
CSH1-7g34804	NA	4.64242798754294	NA
CSH1-1g07518	NA	NA	4.65610798032661
CSH1-11g49299	NA	3.1453728776563	NA
CSH1-7g35950	6.17010772980962	4.85335257845756	NA
CSH1-5g26269	1.21341959542604	4.65634723821521	2.47235685230826
CSH1-4g17272	NA	5.91003092344973	NA
CSH1-5g25863	6.32361382211913	7.65728784258227	7.55348404207899
CSH1-5g26920	8.96163392182867	8.47053251057437	7.78949597309689
CSH1-9g41336	NA	4.02134333808844	NA
CSH1-8g38399	8.14617091703562	NA	NA
CSH1-5g21666	NA	NA	6.64517472747225
CSH1-6g27569	3.68333347538425	NA	7.18793055301063
CSH1-8g40568	NA	6.60930487723675	NA
CSH1-2g07956	NA	NA	3.21221099059833
CSH1-11g51610	7.57840472502124	9.74550747581096	5.37805647519076
CSH1-3g13726	NA	4.88379316713266	NA
CSH1-12g57152	6.10077916703185	10.2359221023168	NA
CSH1-3g16507	NA	NA	5.37805647519076
CSH1-12g54043	10.0920810660909	1.17697762228559	NA
CSH1-1g02968	NA	4.60728413260028	NA
CSH1-5g25806	1.54571749737491	1.56930349638079	3.21221099059833
CSH1-12g55245	NA	4.89633512806935	NA
CSH1-1g00208	NA	7.02181444729187	6.65256205457757
CSH1-1g00068	5.47106609542828	6.97805328644059	NA
CSH1-1g04162	1.54571749737491	NA	5.44289399468607
CSH1-8g41010	NA	4.60728413260028	NA
CSH1-5g25424	NA	3.84547179849966	NA
CSH1-1g01110	7.64973403072173	7.42401653485062	NA
CSH1-9g42404	NA	7.16409037105787	NA
CSH1-11g53673	NA	1.86951029661771	NA
CSH1-9g41916	8.14617091703562	NA	8.08164236092082
CSH1-9g42493	7.64973403072173	6.96580504864867	NA
CSH1-6g27443	7.88133654262554	10.1879750902415	7.69377278000123
CSH1-11g49595	NA	NA	4.88522324366413
CSH1-2g11053	NA	NA	3.21221099059833
CSH1-1g07134	5.3112391622394	7.61613068495101	NA
CSH1-1g04810	9.98050929043383	NA	6.36650206014788
CSH1-5g25850	0	NA	2.47235685230826
CSH1-3g16953	NA	7.16409037105787	NA
CSH1-8g39113	7.88133968343714	5.68536181882668	7.48324281337765
CSH1-2g07912	NA	7.52713170862939	7.78949597309689
CSH1-12g54984	4.06285876796568	10.7852282466509	NA
CSH1-2g10003	0	5.46305325995119	5.44289399468607
CSH1-9g44278	0.681742952307852	3.31785717973332	10.7852282466509
CSH1-8g37246	NA	3.02643156584123	NA
CSH1-5g24067	7.88195256799977	6.4574316851379	3.21221099059833
CSH1-5g21549	NA	NA	5.37805647519076
CSH1-1g03689	NA	7.16409037105787	NA
CSH1-1g06904	8.86015444579585	9.68661595798277	2.40915824294875
CSH1-7g35695	5.25343040648645	9.38863434411927	9.17579033421678
CSH1-1g06449	10.7852282466509	10.7852282466509	2.47235685230826
CSH1-7g35765	NA	10.7852282466509	NA
CSH1-11g53007	NA	6.48482885901536	NA
CSH1-8g40817	6.81493633309876	7.23099302901219	6.01602527464238
CSH1-9g43848	7.64973403072173	6.94606988009461	NA
CSH1-5g26395	7.71265570478777	9.00755421590617	5.37805647519076
